  index.html (line 156): source/pandas/index.html
  source\cloud\providers\aws\domains\warehouse.html (line 33): providers/aws/aws-index.html
  source\cloud\providers\aws\domains\warehouse.html (line 31): cloud-index.html
  source\cloud\providers\aws\services\services.html (line 31): cloud-index.html
  source\cloud\providers\aws\services\services.html (line 32): topics/topics-basics.html
  source\cloud\providers\aws\services\services.html (line 33): providers/aws/aws-index.html
  source\cloud\providers\aws\services\services.html (line 31): cloud-index.html
  source\cloud\topics\topics-basics.html (line 27): cloud-index.html
  source\cloud\topics\topics-basics.html (line 28): topics/topics-basics.html
  source\cloud\topics\topics-basics.html (line 29): providers/aws/aws-index.html
  source\cloud\topics\topics-basics.html (line 27): cloud-index.html
  source\cloud\topics\topics-compute.html (line 27): cloud-index.html
  source\cloud\topics\topics-compute.html (line 28): topics/topics-basics.html
  source\cloud\topics\topics-compute.html (line 29): providers/aws/aws-index.html
  source\cloud\topics\topics-compute.html (line 27): cloud-index.html
  source\cloud\topics\topics-serverless.html (line 27): cloud-index.html
  source\cloud\topics\topics-serverless.html (line 28): topics/topics-basics.html
  source\cloud\topics\topics-serverless.html (line 29): providers/aws/aws-index.html
  source\cloud\topics\topics-serverless.html (line 27): cloud-index.html
  source\cloud\topics\topics-services.html (line 27): cloud-index.html
  source\cloud\topics\topics-services.html (line 28): topics/topics-basics.html
  source\cloud\topics\topics-services.html (line 29): providers/aws/aws-index.html
  source\cloud\topics\topics-services.html (line 27): cloud-index.html
  source\cloud\topics\topics-storage.html (line 27): cloud-index.html
  source\cloud\topics\topics-storage.html (line 28): topics/topics-basics.html
  source\cloud\topics\topics-storage.html (line 29): providers/aws/aws-index.html
  source\cloud\topics\topics-storage.html (line 27): cloud-index.html
  source\cloud\topics\topics.html (line 29): cloud-index.html
  source\cloud\topics\topics.html (line 30): topics/topics-basics.html
  source\cloud\topics\topics.html (line 31): providers/aws/aws-index.html
  source\cloud\topics\topics.html (line 29): cloud-index.html
  source\libraries\numpy\numpy-arrays.html (line 33): methods.html
  source\libraries\numpy\numpy-arrays.html (line 33): methods.html
  source\libraries\numpy\numpy-arrays.html (line 23): ../../index.html
  source\libraries\numpy\numpy-basics.html (line 34): methods.html
  source\libraries\numpy\numpy-basics.html (line 34): methods.html
  source\libraries\numpy\numpy-basics.html (line 23): ../../index.html
  source\libraries\numpy\numpy-hub.html (line 34): methods.html
  source\libraries\numpy\numpy-hub.html (line 34): methods.html
  source\libraries\numpy\numpy-hub.html (line 23): ../../index.html
  source\libraries\numpy\numpy-hub.html (line 34): methods.html
  source\libraries\numpy\numpy-hub.html (line 103): ../pandas/index.html
  source\libraries\numpy\numpy-methods.html (line 33): methods.html
  source\libraries\numpy\numpy-methods.html (line 33): methods.html
  source\libraries\numpy\numpy-methods.html (line 23): ../../index.html
  source\libraries\numpy\numpy-operations.html (line 33): methods.html
  source\libraries\numpy\numpy-operations.html (line 33): methods.html
  source\libraries\numpy\numpy-operations.html (line 23): ../../index.html
  source\libraries\pandas\pandas-dataframes.html (line 33): methods.html
  source\libraries\pandas\pandas-dataframes.html (line 33): methods.html
  source\libraries\pandas\pandas-dataframes.html (line 23): ../../index.html
  source\libraries\pandas\pandas-hub.html (line 33): methods.html
  source\libraries\pandas\pandas-hub.html (line 33): methods.html
  source\libraries\pandas\pandas-hub.html (line 23): ../../index.html
  source\libraries\pandas\pandas-hub.html (line 33): methods.html
  source\libraries\pandas\pandas-hub.html (line 96): ../numpy/index.html
  source\libraries\pandas\pandas-methods.html (line 33): methods.html
  source\libraries\pandas\pandas-methods.html (line 33): methods.html
  source\libraries\pandas\pandas-methods.html (line 23): ../../index.html
  source\libraries\pandas\pandas-series.html (line 33): methods.html
  source\libraries\pandas\pandas-series.html (line 33): methods.html
  source\libraries\pandas\pandas-series.html (line 23): ../../index.html
  source\libraries\spark\spark-architecture.html (line 23): ../../index.html
  source\libraries\spark\spark-code.html (line 23): ../../index.html
  source\libraries\spark\spark-hub.html (line 24): ../../index.html
  source\libraries\spark\spark-theory.html (line 23): ../../index.html
  source\portfolios\projects-experienced.html (line 106): ../../../index.html
  source\portfolios\projects-experienced.html (line 117): ../../../source/portfolios/portfolio.html
  source\portfolios\projects-experienced.html (line 106): ../../../index.html
  source\portfolios\projects-experienced.html (line 130): ../portfolio.html
  source\portfolios\projects-self.html (line 428): ../../../index.html
  source\portfolios\projects-self.html (line 439): ../../../source/portfolios/portfolio.html
  source\portfolios\projects-self.html (line 428): ../../../index.html
  source\portfolios\projects-self.html (line 452): ../portfolio.html
  source\roadmaps\roadmap-ai-engineer.html (line 53): roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 54): python-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 55): sql-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 56): spark-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 57): ml-engineer-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 58): ai-engineer-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 53): roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 54): python-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 55): sql-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 56): spark-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 57): ml-engineer-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 58): ai-engineer-roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 53): roadmap.html
  source\roadmaps\roadmap-ai-engineer.html (line 678): ../python/index.html
  source\roadmaps\roadmap-ai-engineer.html (line 57): ml-engineer-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 47): roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 48): python-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 49): sql-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 50): spark-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 51): ml-engineer-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 52): ai-engineer-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 47): roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 48): python-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 49): sql-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 50): spark-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 51): ml-engineer-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 52): ai-engineer-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 47): roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 111): ../ml/ml-fundamentals.html
  source\roadmaps\roadmap-ml-engineer.html (line 111): ../ml/ml-fundamentals.html
  source\roadmaps\roadmap-ml-engineer.html (line 111): ../ml/ml-fundamentals.html
  source\roadmaps\roadmap-ml-engineer.html (line 111): ../ml/ml-fundamentals.html
  source\roadmaps\roadmap-ml-engineer.html (line 169): ../ml/feature-engineering.html
  source\roadmaps\roadmap-ml-engineer.html (line 169): ../ml/feature-engineering.html
  source\roadmaps\roadmap-ml-engineer.html (line 169): ../ml/feature-engineering.html
  source\roadmaps\roadmap-ml-engineer.html (line 169): ../ml/feature-engineering.html
  source\roadmaps\roadmap-ml-engineer.html (line 169): ../ml/feature-engineering.html
  source\roadmaps\roadmap-ml-engineer.html (line 238): ../ml/model-development.html
  source\roadmaps\roadmap-ml-engineer.html (line 238): ../ml/model-development.html
  source\roadmaps\roadmap-ml-engineer.html (line 238): ../ml/model-development.html
  source\roadmaps\roadmap-ml-engineer.html (line 238): ../ml/model-development.html
  source\roadmaps\roadmap-ml-engineer.html (line 296): ../ml/deep-learning.html
  source\roadmaps\roadmap-ml-engineer.html (line 296): ../ml/deep-learning.html
  source\roadmaps\roadmap-ml-engineer.html (line 296): ../ml/deep-learning.html
  source\roadmaps\roadmap-ml-engineer.html (line 296): ../ml/deep-learning.html
  source\roadmaps\roadmap-ml-engineer.html (line 354): ../ml/ml-system-design.html
  source\roadmaps\roadmap-ml-engineer.html (line 354): ../ml/ml-system-design.html
  source\roadmaps\roadmap-ml-engineer.html (line 354): ../ml/ml-system-design.html
  source\roadmaps\roadmap-ml-engineer.html (line 354): ../ml/ml-system-design.html
  source\roadmaps\roadmap-ml-engineer.html (line 412): ../ml/mlops.html
  source\roadmaps\roadmap-ml-engineer.html (line 412): ../ml/mlops.html
  source\roadmaps\roadmap-ml-engineer.html (line 412): ../ml/mlops.html
  source\roadmaps\roadmap-ml-engineer.html (line 412): ../ml/mlops.html
  source\roadmaps\roadmap-ml-engineer.html (line 470): ../ml/model-deployment.html
  source\roadmaps\roadmap-ml-engineer.html (line 470): ../ml/model-deployment.html
  source\roadmaps\roadmap-ml-engineer.html (line 470): ../ml/model-deployment.html
  source\roadmaps\roadmap-ml-engineer.html (line 470): ../ml/model-deployment.html
  source\roadmaps\roadmap-ml-engineer.html (line 527): ../ml/production-ml.html
  source\roadmaps\roadmap-ml-engineer.html (line 527): ../ml/production-ml.html
  source\roadmaps\roadmap-ml-engineer.html (line 527): ../ml/production-ml.html
  source\roadmaps\roadmap-ml-engineer.html (line 527): ../ml/production-ml.html
  source\roadmaps\roadmap-ml-engineer.html (line 47): roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 48): python-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 49): sql-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 50): spark-roadmap.html
  source\roadmaps\roadmap-ml-engineer.html (line 595): ../ml/index.html
  source\roadmaps\roadmap-ml-engineer.html (line 111): ../ml/ml-fundamentals.html
  source\roadmaps\roadmap-python.html (line 49): roadmap.html
  source\roadmaps\roadmap-python.html (line 50): python-roadmap.html
  source\roadmaps\roadmap-python.html (line 51): sql-roadmap.html
  source\roadmaps\roadmap-python.html (line 52): spark-roadmap.html
  source\roadmaps\roadmap-python.html (line 53): ml-engineer-roadmap.html
  source\roadmaps\roadmap-python.html (line 54): ai-engineer-roadmap.html
  source\roadmaps\roadmap-python.html (line 49): roadmap.html
  source\roadmaps\roadmap-python.html (line 50): python-roadmap.html
  source\roadmaps\roadmap-python.html (line 51): sql-roadmap.html
  source\roadmaps\roadmap-python.html (line 52): spark-roadmap.html
  source\roadmaps\roadmap-python.html (line 53): ml-engineer-roadmap.html
  source\roadmaps\roadmap-python.html (line 54): ai-engineer-roadmap.html
  source\roadmaps\roadmap-python.html (line 49): roadmap.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 183): ../python/methods.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 288): ../python/memory-performance.html
  source\roadmaps\roadmap-python.html (line 288): ../python/memory-performance.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 288): ../python/memory-performance.html
  source\roadmaps\roadmap-python.html (line 462): ../numpy/index.html
  source\roadmaps\roadmap-python.html (line 473): ../pandas/index.html
  source\roadmaps\roadmap-python.html (line 571): ../python/index.html
  source\roadmaps\roadmap-python.html (line 114): ../python/python-fundamentals.html
  source\roadmaps\roadmap-python.html (line 183): ../python/methods.html
  source\roadmaps\roadmap-python.html (line 288): ../python/memory-performance.html
  source\roadmaps\roadmap-python.html (line 49): roadmap.html
  source\roadmaps\roadmap-spark.html (line 47): roadmap.html
  source\roadmaps\roadmap-spark.html (line 48): python-roadmap.html
  source\roadmaps\roadmap-spark.html (line 49): sql-roadmap.html
  source\roadmaps\roadmap-spark.html (line 50): spark-roadmap.html
  source\roadmaps\roadmap-spark.html (line 51): ml-engineer-roadmap.html
  source\roadmaps\roadmap-spark.html (line 52): ai-engineer-roadmap.html
  source\roadmaps\roadmap-spark.html (line 47): roadmap.html
  source\roadmaps\roadmap-spark.html (line 48): python-roadmap.html
  source\roadmaps\roadmap-spark.html (line 49): sql-roadmap.html
  source\roadmaps\roadmap-spark.html (line 50): spark-roadmap.html
  source\roadmaps\roadmap-spark.html (line 51): ml-engineer-roadmap.html
  source\roadmaps\roadmap-spark.html (line 52): ai-engineer-roadmap.html
  source\roadmaps\roadmap-spark.html (line 47): roadmap.html
  source\roadmaps\roadmap-spark.html (line 111): ../spark/spark-architecture.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 111): ../spark/spark-architecture.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 568): ../spark/index.html
  source\roadmaps\roadmap-spark.html (line 122): ../spark/spark-theory.html
  source\roadmaps\roadmap-spark.html (line 169): ../spark/spark-code.html
  source\roadmaps\roadmap-spark.html (line 111): ../spark/spark-architecture.html
  source\roadmaps\roadmap-spark.html (line 48): python-roadmap.html
  source\roadmaps\roadmap-spark.html (line 47): roadmap.html
  source\roadmaps\roadmap-sql.html (line 47): roadmap.html
  source\roadmaps\roadmap-sql.html (line 48): python-roadmap.html
  source\roadmaps\roadmap-sql.html (line 49): sql-roadmap.html
  source\roadmaps\roadmap-sql.html (line 50): spark-roadmap.html
  source\roadmaps\roadmap-sql.html (line 51): ml-engineer-roadmap.html
  source\roadmaps\roadmap-sql.html (line 52): ai-engineer-roadmap.html
  source\roadmaps\roadmap-sql.html (line 47): roadmap.html
  source\roadmaps\roadmap-sql.html (line 48): python-roadmap.html
  source\roadmaps\roadmap-sql.html (line 49): sql-roadmap.html
  source\roadmaps\roadmap-sql.html (line 50): spark-roadmap.html
  source\roadmaps\roadmap-sql.html (line 51): ml-engineer-roadmap.html
  source\roadmaps\roadmap-sql.html (line 52): ai-engineer-roadmap.html
  source\roadmaps\roadmap-sql.html (line 47): roadmap.html
  source\roadmaps\roadmap-sql.html (line 228): ../sql/sql-joins.html
  source\roadmaps\roadmap-sql.html (line 228): ../sql/sql-joins.html
  source\roadmaps\roadmap-sql.html (line 228): ../sql/sql-joins.html
  source\roadmaps\roadmap-sql.html (line 228): ../sql/sql-joins.html
  source\roadmaps\roadmap-sql.html (line 286): ../sql/sql-subqueries.html
  source\roadmaps\roadmap-sql.html (line 286): ../sql/sql-subqueries.html
  source\roadmaps\roadmap-sql.html (line 286): ../sql/sql-subqueries.html
  source\roadmaps\roadmap-sql.html (line 286): ../sql/sql-subqueries.html
  source\roadmaps\roadmap-sql.html (line 344): ../sql/sql-windows.html
  source\roadmaps\roadmap-sql.html (line 344): ../sql/sql-windows.html
  source\roadmaps\roadmap-sql.html (line 344): ../sql/sql-windows.html
  source\roadmaps\roadmap-sql.html (line 344): ../sql/sql-windows.html
  source\roadmaps\roadmap-sql.html (line 344): ../sql/sql-windows.html
  source\roadmaps\roadmap-sql.html (line 569): ../sql/index.html
  source\roadmaps\roadmap-sql.html (line 228): ../sql/sql-joins.html
  source\roadmaps\roadmap-sql.html (line 286): ../sql/sql-subqueries.html
  source\roadmaps\roadmap-sql.html (line 344): ../sql/sql-windows.html
  source\roadmaps\roadmap-sql.html (line 47): roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 47): roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 48): python-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 49): sql-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 50): spark-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 51): ml-engineer-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 52): ai-engineer-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 47): roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 48): python-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 49): sql-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 50): spark-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 51): ml-engineer-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 52): ai-engineer-roadmap.html
  source\roadmaps\roadmaps-data-engineer.html (line 110): ../python/python-fundamentals.html
  source\roadmaps\roadmaps-data-engineer.html (line 168): ../numpy/numpy-arrays.html
  source\roadmaps\roadmaps-data-engineer.html (line 179): ../pandas/pandas-dataframes.html
  source\roadmaps\roadmaps-data-engineer.html (line 201): ../data/data-types.html
  source\roadmaps\roadmaps-data-engineer.html (line 284): ../spark/index.html
  source\roadmaps\roadmaps-data-engineer.html (line 306): ../data/data-pipeline.html
  source\roadmaps\roadmaps-data-engineer.html (line 317): ../data/data-quality.html
  source\roadmaps\roadmaps-data-engineer.html (line 342): ../cloud/cloud-basics.html
  source\roadmaps\roadmaps-data-engineer.html (line 353): ../cloud/cloud-aws.html
  source\roadmaps\roadmaps-data-engineer.html (line 364): ../cloud/cloud-azure.html
  source\roadmaps\roadmaps-data-engineer.html (line 375): ../cloud/cloud-gcp.html
  source\roadmaps\roadmaps-data-engineer.html (line 386): ../cloud/cloud-compute.html
  source\roadmaps\roadmaps-data-engineer.html (line 636): ../python/index.html
  source\roadmaps\roadmaps-data-engineer.html (line 640): ../sql/index.html
  source\roadmaps\roadmaps-data-engineer.html (line 284): ../spark/index.html
  source\roadmaps\roadmaps-data-engineer.html (line 648): ../cloud/index.html
  source\roadmaps\roadmaps-data-engineer.html (line 652): ../data/index.html
  source\roadmaps\roadmaps-data-engineer.html (line 656): ../pandas/index.html
